,year,Age Group,value
0,2001,0-14,7.0
1,2002,0-14,9.2
2,2003,0-14,7.2
3,2004,0-14,8.5
4,2005,0-14,8.6
5,2006,0-14,9.6
6,2007,0-14,9.2
7,2008,0-14,7.5
8,2009,0-14,9.1
9,2010,0-14,10.0
10,2011,0-14,10.5
11,2012,0-14,11.0
12,2013,0-14,9.5
13,2014,0-14,9.2
14,2015,0-14,9.4
15,2016,0-14,9.5
16,2017,0-14,9.4
17,2018,0-14,9.3
18,2019,0-14,9.2
19,2001,15-24,10.8
20,2002,15-24,10.0
21,2003,15-24,10.0
22,2004,15-24,9.8
23,2005,15-24,9.6
24,2006,15-24,8.7
25,2007,15-24,8.6
26,2008,15-24,7.1
27,2009,15-24,7.9
28,2010,15-24,8.3
29,2011,15-24,7.9
30,2012,15-24,8.0
31,2013,15-24,8.7
32,2014,15-24,8.5
33,2015,15-24,8.5
34,2016,15-24,8.5
35,2017,15-24,8.5
36,2018,15-24,8.4
37,2019,15-24,8.3
38,2001,25-34,20.1
39,2002,25-34,19.4
40,2003,25-34,19.5
41,2004,25-34,18.8
42,2005,25-34,18.8
43,2006,25-34,18.3
44,2007,25-34,18.0
45,2008,25-34,15.2
46,2009,25-34,17.9
47,2010,25-34,17.4
48,2011,25-34,16.6
49,2012,25-34,16.5
50,2013,25-34,19.1
51,2014,25-34,18.9
52,2015,25-34,19.2
53,2016,25-34,19.2
54,2017,25-34,19.1
55,2018,25-34,18.6
56,2019,25-34,18.6
57,2001,35-44,21.1
58,2002,35-44,21.6
59,2003,35-44,21.6
60,2004,35-44,21.3
61,2005,35-44,21.3
62,2006,35-44,21.4
63,2007,35-44,21.0
64,2008,35-44,17.1
65,2009,35-44,20.3
66,2010,35-44,21.1
67,2011,35-44,21.2
68,2012,35-44,21.0
69,2013,35-44,21.0
70,2014,35-44,21.0
71,2015,35-44,21.2
72,2016,35-44,21.1
73,2017,35-44,21.1
74,2018,35-44,21.0
75,2019,35-44,21.3
76,2001,45-54,19.4
77,2002,45-54,19.4
78,2003,45-54,19.4
79,2004,45-54,19.4
80,2005,45-54,19.5
81,2006,45-54,19.6
82,2007,45-54,19.6
83,2008,45-54,16.1
84,2009,45-54,19.6
85,2010,45-54,19.9
86,2011,45-54,19.7
87,2012,45-54,19.8
88,2013,45-54,20.0
89,2014,45-54,20.1
90,2015,45-54,20.0
91,2016,45-54,19.9
92,2017,45-54,19.9
93,2018,45-54,19.8
94,2019,45-54,19.8
95,2001,55-64,11.9
96,2002,55-64,11.5
97,2003,55-64,11.5
98,2004,55-64,12.8
99,2005,55-64,13.0
100,2006,55-64,13.5
101,2007,55-64,13.9
102,2008,55-64,11.9
103,2009,55-64,14.7
104,2010,55-64,13.8
105,2011,55-64,13.7
106,2012,55-64,13.9
107,2013,55-64,14.0
108,2014,55-64,14.0
109,2015,55-64,13.8
110,2016,55-64,13.8
111,2017,55-64,13.8
112,2018,55-64,14.2
113,2019,55-64,14.1
114,2001,65 and above,6.7
115,2002,65 and above,7.7
116,2003,65 and above,7.7
117,2004,65 and above,8.2
118,2005,65 and above,8.7
119,2006,65 and above,7.0
120,2007,65 and above,7.5
121,2008,65 and above,6.5
122,2009,65 and above,8.5
123,2010,65 and above,9.5
124,2011,65 and above,10.5
125,2012,65 and above,9.9
126,2013,65 and above,7.7
127,2014,65 and above,8.3
128,2015,65 and above,7.9
129,2016,65 and above,8.1
130,2017,65 and above,8.2
131,2018,65 and above,8.7
132,2019,65 and above,8.8
