region,business_and_professional(%),leisure_holiday_and_recreation(%),medical(%),indian_diaspora(%),others(%)
North America,1.8694836759999998,7.62331828,0.016775028,5.213305924,3.9160370920000007
Central & South America,0.20022622399999998,0.6361931060000001,0.0016817420000000002,0.033436988,0.11772194000000002
Western Europe,3.7578107250000006,9.951118488,0.021784410000000004,4.406986143,3.646710234
Eastern Europe,0.566949402,3.2652085930000005,0.23508771500000006,0.077145289,0.42041900100000007
Africa,0.6764290360000002,1.128951728,0.5238973680000001,0.272455616,1.021346252
West Asia,0.42719162700000013,2.178720492,0.966688434,0.08768442900000001,0.659145018
South Asia,1.9681024770000002,23.039964675,4.415571252,0.411849918,3.9227016779999997
South East Asia,0.9928861800000001,5.424117660000001,0.059554560000000006,0.7797925200000001,2.04904908
East Asia,3.8704493,3.078055375,0.0039111250000000005,0.1376716,0.7329448249999999
Australasia,0.349834383,1.6363645920000003,0.021946950000000003,1.725908148,0.655335927
