,circle,name_of_the_monument,domestic_2019,foreign_2019,domestic_2020,foreign_2020
0,Agra,Taj Mahal,4429710,645415,1259892,9034
1,Agra,Agra Fort,1627154,386522,371242,2810
2,Agra,Fatehpur Sikri,454376,184751,107835,574
3,Agra,Akbar Tomb Sikandra,229270,19625,99509,321
4,Agra,Mariam tomb Sikandra,22517,414,9765,31
5,Agra,Itimad-ud-Daulah-Tomb,132800,82692,41016,410
6,Agra,Ram Bagh,84051,355,18599,54
7,Agra,Mehtab Bagh,178574,62325,62652,544
8,Agra,Mausoleum,474462,12536,91185,321
10,Lucknow,Site of Sahet mahet,74597,13628,27201,35
11,Lucknow,Residency Building,116348,3367,57194,37
12,Lucknow,Piprahwa & Ganwaria,38342,3098,12062,3
14,Jhansi,"Gupta Temple & Varah Temple, Deogarh",1348,32,931,0
15,Jhansi,Kalinjar Fort,81507,137,80291,27
16,Jhansi,Rani Lakshmi Bai Mahal,15954,50,5712,5
17,Jhansi,Rani Jhansi Fort,361294,705,174622,107
19,Sarnath,Lord Cornwallis Tomb,18318,85,5289,9
20,Sarnath,"Old Fort (Shahi Fort), Jaunpur",198922,114,67163,127
21,Sarnath,Observatory of Man Singh,83059,954,21379,11
22,Sarnath,Excavated Remains at sarnath,485309,100590,170590,384
23,Sarnath,Tomb of Lal Khan,6819,9,1972,2
24,Sarnath,Ancient Buddhist Site known as Chaukhandi stupa,55144,5186,14956,46
26,Thrissur,"Bekal Fort, Pallikkare, Distt. Kasargod",334846,728,115333,242
27,Thrissur,Mattancherry Palace Museum Kochi,300465,79355,23026,177
28,Thrissur,"Fort, Palakkad, Palakkad",174589,241,43927,26
29,Thrissur,"Fort St. Angelo, Kannur",234518,3305,65683,115
31,Chennai,Group of Monuments Mamallapuram,1260358,53422,808145,29145
32,Chennai,"Gingee Fort , Gingee",107073,1736,125109,2272
33,Chennai,"Tiger headed Rock cut temple & two other monuments, Saluvankuppam",43733,1063,58206,868
35,Tiruchirappalli,"Fort on Rock, Dindigual",24657,94,25603,99
36,Tiruchirappalli,"Moovarkoil, Kodumbalur",19114,46,1476,9
37,Tiruchirappalli,"Rock-cut Jain Temple, Sittannavasasl",31876,188,41791,235
38,Tiruchirappalli,Tirumalai Nayak's Palace Srivilliputhur,30046,460,217,3
39,Tiruchirappalli,"Natural Caven with inscription eladipattam, Sittannavasal",23928,645,2490,19
40,Tiruchirappalli,"Fort Museum, Thirumayam",294829,5259,41487,1555
41,Tiruchirappalli,Fort Vattakottai,159492,340,5058,36
43,Bhopal,Buddhist Caves,19920,42,23692,0
44,Bhopal,"The palace situated in the fort, Burhanpur",47305,272,13926,27
45,Bhopal,Hoshang Shah's Tomb,130094,2017,57769,39
46,Bhopal,"Group of monument, Royal Palace Mandu",408302,2427,181868,128
47,Bhopal,Roopmati's Pavilion,392485,1884,148680,91
48,Bhopal,"Buddhist Monuments, Sanchi",250706,3986,58979,41
49,Bhopal,Gwalior Fort,255734,7744,101464,130
50,Bhopal,"Buddhist cave no 01 to 51 Dhamnar, Tehsil Garoth",32578,4,12303,13
51,Bhopal,"Badal Mahal Gatwway, Chanderi",13708,89,9689,5
52,Bhopal,Caves 1 t0 20 Udaygiri Vidisha,53546,741,11601,10
53,Bhopal,Bir Singh Palace Datia,23382,736,14045,12
55,Jabalpur,"Ancient Site and Adamgrah rock shelter, Kalamdi Rasuliya and kishanpur",23354,18,16546,8
56,Jabalpur,"Western Group of Temples, Khajuraho",244995,41741,128515,275
57,Jabalpur,"Group of Temple Parameshvar shiv and Karan Temple, Amarkantak",57408,42,23598,13
59,Dharwad,Durga temple complex Aihole,186767,3849,75089,99
60,Dharwad,"Jaina & Vaishnava Cave, Badami",372051,6758,172259,167
61,Dharwad,Group of Monuments (WH) Pattadakal,262144,4310,123110,61
62,Dharwad,"Gol Gumbaz, Vijayapura",813943,1683,283256,75
63,Dharwad,"Ibrahim Rauza, Bijapur",155565,1290,57759,12
64,Dharwad,"Temples & Sculpture Shed, lakkumdi",13019,91,5652,0
66,Hampi,"Group of Monuments, Hampi",587238,27006,273456,627
67,Hampi,Bellary Fort,28723,56,11069,9
69,Banglore,Dariya Daulath Bagh,646560,14016,89006,306
70,Banglore,Keshava Temple,178425,8653,64222,196
